INSERT INTO temp (t, name) VALUES
(1,'av7'),
(2,'lvd'),
(3,'i55'),
(4,'42i'),
(5,'syr'),
(6,'9mj'),
(7,'bmy'),
(8,'rw9'),
(9,'dkj'),
(10,'c7l'),
(11,'hpu'),
(12,'ojw'),
(13,'89f'),
(14,'tu6'),
(15,'vvh'),
(16,'72p'),
(17,'5c8'),
(18,'mml'),
(19,'m4j'),
(20,'1tp'),
(21,'w8f'),
(22,'iy7'),
(23,'xq9'),
(24,'bp2'),
(25,'sn6'),
(26,'lp3'),
(27,'qit'),
(28,'qdy'),
(29,'5o9'),
(30,'51l'),
(31,'dyz'),
(32,'37l'),
(33,'1ny'),
(34,'phm'),
(35,'w3u'),
(36,'caj'),
(37,'l3r'),
(38,'b8d'),
(39,'lzi'),
(40,'ysd'),
(41,'vjm'),
(42,'fbm'),
(43,'pfr'),
(44,'jzf'),
(45,'ont'),
(46,'u1s'),
(47,'8q2'),
(48,'i8o'),
(49,'wos'),
(50,'mii'),
(51,'87h'),
(52,'ntz'),
(53,'y5n'),
(54,'k8p'),
(55,'n1b'),
(56,'iwz'),
(57,'3ab'),
(58,'qhi'),
(59,'f68'),
(60,'zun'),
(61,'ujt'),
(62,'f1h'),
(63,'lfg'),
(64,'uvm'),
(65,'dtd'),
(66,'dxf'),
(67,'f7m'),
(68,'sv3'),
(69,'keq'),
(70,'5ds'),
(71,'41y'),
(72,'arm'),
(73,'f2j'),
(74,'fpz'),
(75,'2cy'),
(76,'vl9'),
(77,'u9y'),
(78,'olh'),
(79,'ld6'),
(80,'cog'),
(81,'67r'),
(82,'nf9'),
(83,'6il'),
(84,'kjc'),
(85,'qnm'),
(86,'ax9'),
(87,'1cy'),
(88,'f2p'),
(89,'fsn'),
(90,'8hy'),
(91,'j7e'),
(92,'cxj'),
(93,'9fd'),
(94,'bn9'),
(95,'svv'),
(96,'zk4'),
(97,'67r'),
(98,'czy'),
(99,'idt'),
(100,'56c'),
(101,'qiq'),
(102,'tf8'),
(103,'7iz'),
(104,'t7a'),
(105,'jx1'),
(106,'p5b'),
(107,'hwv'),
(108,'x5d'),
(109,'xy4'),
(110,'3zv'),
(111,'4dr'),
(112,'c7n'),
(113,'4w4'),
(114,'mhl'),
(115,'wk3'),
(116,'oyl'),
(117,'1il'),
(118,'4k8'),
(119,'fjf'),
(120,'uht'),
(121,'5jb'),
(122,'gk3'),
(123,'t8k'),
(124,'2rh'),
(125,'8dx'),
(126,'ate'),
(127,'8xp'),
(128,'kiq'),
(129,'9um'),
(130,'2i1'),
(131,'xu2'),
(132,'xqw'),
(133,'61l'),
(134,'vlb'),
(135,'6ct'),
(136,'s3q'),
(137,'mj4'),
(138,'zme'),
(139,'joz'),
(140,'6nl'),
(141,'gmp'),
(142,'yo8'),
(143,'qpb'),
(144,'lf2'),
(145,'ufg'),
(146,'elu'),
(147,'ufu'),
(148,'kz6'),
(149,'evu'),
(150,'6b7'),
(151,'lue'),
(152,'ici'),
(153,'6cs'),
(154,'ioj'),
(155,'ym4'),
